CBA_ID,UNION_ID,PSIC,REGION,EBU_YEAR_REG,SCOPE,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp
NA,125,EDUCATION,NCR,2018,RANK AND FILE,"INDEPENDENT
UNION",41,22,0.5365853658536586,Luzon
NA,126,CONSTRUCTION,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,52,20,0.38461538461538464,Luzon
NA,127,MANUFACTURING,NCR,2018,RANK AND FILE,INDEPENDENT UNION,400,28,0.07,Luzon
NA,128,EDUCATION,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",45,31,0.6888888888888889,Luzon
NA,129,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,31,25,0.8064516129032258,Luzon
NA,130,CONSTRUCTION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,250,71,0.284,Luzon
NA,131,MANUFACTURING,NCR,2017,SUPERVISORY,"INDEPENDENT
UNION",271,40,0.14760147601476015,Luzon
NA,132,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,800,450,0.5625,Luzon
NA,133,CONSTRUCTION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,100,13,0.13,Luzon
NA,134,CONSTRUCTION,NCR,2017,RANK AND FILE,INDEPENDENT UNION,100,37,0.37,Luzon
NA,135,HUMAN HEALTH AND SOCIAL WORK  ACTIVITIES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,813,536,0.6592865928659286,Luzon
NA,136,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,100,60,0.6,Luzon
NA,137,FINANCIAL AND INSURANCE  ACTIVITIES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,2600,99,0.038076923,Luzon
NA,138,TRANSPORT AND  STORAGE,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",184,61,0.33152173913043476,Luzon
NA,139,TRANSPORT AND  STORAGE,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,160,105,0.65625,Luzon
NA,140,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,51,25,0.49019607843137253,Luzon
NA,141,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,40,30,0.75,Luzon
NA,142,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,50,11,0.22,Luzon
NA,144,TRANSPORT AND  STORAGE,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,100,64,0.64,Luzon
NA,145,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,4000,50,0.0125,Luzon
NA,146,MANUFACTURING,NCR,2017,SUPERVISORY,LOCAL/CHAPTER,3000,14,0.004666667,Luzon
NA,151,MANUFACTURING,NCR,2017,RANK AND FILE,INDEPENDENT,16,15,0.9375,Luzon
NA,153,MANUFACTURING,NCR,2017,SUPERVISORY,LOCAL/CHAPTER,19,18,0.9473684210526315,Luzon
"0459
",154,MANUFACTURING,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",80,56,0.7,Luzon
NA,156,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,441,240,0.544217687,Luzon
NA,157,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,400,230,0.575,Luzon
NA,159,TRANSPORT AND  STORAGE,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",332,22,0.06626506,Luzon
NA,160,TRANSPORT AND STORAGE,NCR,2017,RANK AND FILE,INDEPENDENT UNION,395,23,0.058227848,Luzon
"0469
",162,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,95,12,0.12631578947368421,Luzon
NA,163,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,78,35,0.44871794871794873,Luzon
NA,164,CONSTRUCTION,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",22,12,0.5454545454545454,Luzon
NA,165,MANUFACTURING,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",375,175,0.4666666666666667,Luzon
NA,166,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,125,26,0.208,Luzon
"0548
",167,MINING AND  QUARRYING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,55,12,0.21818181818181817,Luzon
NA,168,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,70,13,0.18571428571428572,Luzon
NA,169,CONSTRUCTION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,60,15,0.25,Luzon
NA,170,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,40,13,0.325,Luzon
NA,171,TRANSPORT AND  STORAGE,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,20,18,0.9,Luzon
NA,172,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING  SUPPLY",NCR,2017,RANK AND FILE,LOCAL/CHAPTER,101,20,0.19801980198019803,Luzon
NA,174,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,110,65,0.5909090909090909,Luzon
NA,175,TRANSPORT AND  STORAGE,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",65,51,0.7846153846153846,Luzon
NA,178,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,400,45,0.1125,Luzon
0700,179,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,164,93,0.5670731707317073,Luzon
NA,180,TRANSPORT AND  STORAGE,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,800,50,0.0625,Luzon
NA,181,"AGRICULTURE, FORESTRY AND  FISHING",NCR,2017,RANK AND FILE,LOCAL/CHAPTER,30,13,0.43333333333333335,Luzon
NA,182,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,150,53,0.35333333333333333,Luzon
NA,183,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,42,15,0.35714285714285715,Luzon
NA,184,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,144,48,0.3333333333333333,Luzon
NA,185,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING  SUPPLY",NCR,2017,RANK AND FILE,LOCAL/CHAPTER,60,17,0.2833333333333333,Luzon
NA,186,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,120,68,0.5666666666666667,Luzon
NA,187,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,30,24,0.8,Luzon
NA,188,MANUFACTURING,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",110,40,0.36363636363636365,Luzon
NA,189,TRANSPORT AND  STORAGE,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,36,13,0.3611111111111111,Luzon
NA,190,OTHER SERVICES  ACTIVITIES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,12,9,0.75,Luzon
NA,191,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,98,46,0.46938775510204084,Luzon
NA,192,MANUFACTURING,NCR,2017,RANK AND FILE,INDEPENDENT UNION,36,18,0.5,Luzon
0118,193,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,53,21,0.39622641509433965,Luzon
NA,194,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,101,50,0.49504950495049505,Luzon
NA,195,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,138,22,0.15942028985507245,Luzon
NA,196,TRANSPORT AND  STORAGE,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,113,51,0.45132743362831856,Luzon
NA,198,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,60,32,0.5333333333333333,Luzon
0847,199,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,55,30,0.5454545454545454,Luzon
"0849
",200,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,30,16,0.5333333333333333,Luzon
NA,201,ADMINISTRATIVE  AND SUPPORT SERVICE ACTIVITIES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,200,125,0.625,Luzon
NA,202,MANUFACTURING,NCR,2017,RANK AND FILE,INDEPENDENT UNION,300,60,0.2,Luzon
NA,203,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,30,13,0.43333333333333335,Luzon
NA,204,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,40,22,0.55,Luzon
NA,205,OTHER SERVICES  ACTIVITIES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,50,29,0.58,Luzon
NA,206,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,30,5,0.16666666666666666,Luzon
0910,207,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,1396,333,0.23853868194842406,Luzon
NA,208,INFORMATION AND COMMUNICATION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,150,30,0.2,Luzon
NA,209,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,160,46,0.2875,Luzon
NA,210,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,50,15,0.3,Luzon
NA,211,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,80,11,0.1375,Luzon
NA,212,TRANSPORT AND  STORAGE,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",80,12,0.15,Luzon
NA,213,INFORMATION AND COMMUNICATION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,230,88,0.3826086956521739,Luzon
0975,214,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2017,SUPERVISORY,INDEPENDENT UNION,555,35,0.063063063,Luzon
NA,215,MANUFACTURING,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",1220,1220,1,Luzon
NA,216,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,170,74,0.43529411764705883,Luzon
NA,217,CONSTRUCTION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,149,130,0.872483221,Luzon
NA,218,CONSTRUCTION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,149,80,0.5369127516778524,Luzon
0105,219,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,26,19,0.7307692307692307,Luzon
NA,220,CONSTRUCTION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,220,15,0.068181818,Luzon
NA,221,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,1500,1300,0.8666666666666667,Luzon
NA,222,MANUFACTURING,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",85,46,0.5411764705882353,Luzon
NA,223,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,200,61,0.305,Luzon
