CBA_ID,UNION_ID,PSIC.x,REGION,EBU_YEAR_REG,SCOPE.x,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp,FILE_ID,FIRM_NAME.y,PSIC.y,UNION_NAME.y,START_DATE,END_DATE,BARGAIN_UNIT,SCOPE.y,YEAR_REG,Duration,CBA_yes,EVENT,UNIONAGE1,UNIONAGE2,TIMECBA,SCOPE_new,Type,Sector,sector_grp,Density
NA,322,ADMINISTRATIVE  AND SUPPORT SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,39,20,51.28205128205128,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,High density
0971,323,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,166,20,12.048192771084338,Luzon,0971_TF Logistics,TF LOGISTICS PHILIPPINES INC.,TRANSPORT AND STORAGE,TF LOGISTICS PHILIPPINES WORKERS UNION-PTGWO,2016-12-28T00:00:00Z,2021-12-27T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,324,ACCOMODATION  AND FOOD SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,INDEPENDENT UNION,600,122,20.333333333333332,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,All others,Services,Low density
0982,325,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2016,RANK AND FILE,INDEPENDENT UNION,NA,15,NA,Luzon,0982_Toplite,TOPLITE LUMBER CORPORATION,MINING AND QUARRYING,TOPLITE LUMBER CORP. EMPLOYEES UNION-INDEPENDENT,2017-04-01T00:00:00Z,2022-04-01T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Independent,All others,Services,NA
NA,326,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,50,12,24,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,327,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,78,18,23.076923076923077,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,328,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,50,13,26,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,329,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,110,100,90.90909091,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,330,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,51,13,25.49019607843137,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
1020,331,OTHER SERVICES  ACTIVITIES,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",200,80,40,Luzon,1020_V-Kim,V-KIM MANPOWER SERVICES,OTHER SERVICES ACTIVITIES,EMPLOYEES ASSOCIATION AT V-KIM MANPOWER SERVICES,2017-06-01T00:00:00Z,2022-06-01T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Independent,All others,Services,Low density
